Time,Steer_SW,Thr_Eng,Pbk_Con,PwrWheel,GearStat,Beta,Vx,Vy,AVz,Ax_SM,Ay_SM,AAz,AVy_L1,AVy_L2,AVy_R1,AVy_R2,Fx_L1,Fx_R1,Fx_L2,Fx_R2,M_Eng_Rq,MY_DR_L1,MY_DR_L2,MY_DR_R1,MY_DR_R2,Ax,Ay,AA_Y,AV_Y,Vx_SM,Vy_SM
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.22442267565042e-06,3.39585091670277e-19,8.9563888388351e-19,0.0,0.0,0.0,0.0,1.96270896633968e-13,1.96270896633968e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85335724129558e-07,1.9428537475151698e-22,1.12344170754328e-18,0.0,0.0,0.0
0.1,-17.6,0.0,0.0,0.866063005998844,1.0,-2.28653408052636,0.172869581798192,-0.0069024658684379,-0.0928339077862501,0.0508759205336245,-0.0013002697698453,-0.0020372495161997,28.6404207573556,1.57714399730753,28.7634355867163,1.48397183930291,369.181822905455,368.040782041593,-17.8219928073092,-19.2159411300338,13.924642812218,144.558086404139,0.0,144.34709940135,0.0,0.0,0.0,-0.0021047658399805,-0.0927932828375859,0.172300831123898,-0.0071625841643601
0.2,-17.6,0.0,0.0,0.921968693298304,1.0,-2.03286305277566,0.353497367157963,-0.0125474063595617,-0.0703787495940802,0.0511375137106041,-0.0009909826542298,-0.0045224456435243,34.4721191576055,2.95362149634519,34.5128817503928,2.88987943149484,371.711423594004,371.584058699495,-16.9967809362196,-17.3268413773532,16.5062262439633,127.674626132284,0.0,127.603945943589,0.0,0.0,0.0,-0.0045229723331709,-0.0703543389048528,0.353328949413104,-0.0127327803213034
0.3,-17.6,0.0,0.0,0.918511342239398,1.0,-1.46112612497521,0.535095255867276,-0.0136486699727351,-0.141625378557503,0.0513484269864084,-0.0006184380302821,-0.0088124128165643,34.6220731419434,4.45936156652362,34.6136288941422,4.33480788443143,371.62684410512,371.940071612559,-16.4174795299803,-16.4492941639321,16.6407903660203,126.677787097588,0.0,126.691545267593,0.0,0.0,0.0,-0.0088029134763905,-0.141635995850252,0.534937227268941,-0.0140657399801691
0.4,-17.6,0.0,0.0,0.918166786342125,1.0,-1.4226331477695,0.71659607792543,-0.0177964746380866,-0.143789542774225,0.0513492877506544,-0.0012933901654485,0.0006177102144964,34.6031391333209,5.93160011335061,34.618562264504,5.8059637633897,371.808999151575,371.436892270914,-16.1187615555802,-16.067861224428,16.6337465352112,126.676177592731,0.0,126.650443255367,0.0,0.0,0.0,0.0006107244711122,-0.143763131393192,0.716479025842771,-0.0181730842836143
0.5,-17.6,0.0,0.0,0.91828433632153,1.0,-1.30323729606067,0.898065996991035,-0.020430736707879,-0.174456268738037,0.0513865712984187,-0.0005989386460269,-0.0081888210130533,34.5989831070883,7.41756628158359,34.6187788191111,7.26710493026661,371.63427689354,371.761683074229,-16.0012188769762,-15.815304319874,16.6300165897771,126.704069189747,0.0,126.669158702983,0.0,0.0,0.0,-0.0081870950583263,-0.174464904698172,0.897983455519426,-0.0209361828712901
0.6,-17.6,0.0,0.0,0.918348135508816,1.0,-1.21599101308687,1.07956436457548,-0.0229150856470842,-0.202445240002715,0.0513996469126237,-0.0010219019308881,-0.0017382425315964,34.6101743326728,8.9068808364536,34.6027302458353,8.73250124998987,371.752914031566,371.684867653614,-15.8697889716281,-15.7705333727956,16.6301144895858,126.697774422317,0.0,126.71097541686,0.0,0.0,0.0,-0.0017378791064517,-0.20243445367187,1.07950103272497,-0.0234678156000595
0.7,-17.6,0.0,0.0,0.918362895111822,1.0,-1.17278079721136,1.26105664794734,-0.0258160306914135,-0.216675172164658,0.0514037134987877,-0.0008086396484619,-0.0043414205570996,34.5958726635505,10.3909059262429,34.6145890688231,10.2045995907965,371.75389169839,371.695037314601,-15.8405091361471,-15.7264134475789,16.6307175450797,126.727091535836,0.0,126.694642900249,0.0,0.0,0.0,-0.00434297454061,-0.216675324007622,1.26100970896136,-0.0264239172810736
0.8,-17.6,0.0,0.0,0.918386903814178,1.0,-1.10833999653944,1.44254814931266,-0.0279083953606556,-0.244267853565322,0.0514052858245328,-0.0008251251256809,-0.0038625828352088,34.6054467505541,11.8817046164236,34.6013108579109,11.6718891522976,371.711484263686,371.760039352957,-15.8201739558054,-15.7268801420324,16.6313639021486,126.717423138599,0.0,126.724493995797,0.0,0.0,0.0,-0.0038613798586066,-0.244265923661384,1.4425128117867,-0.0285884028418214
0.9,-17.6,0.0,0.0,0.918405336998393,1.0,-1.07058566162287,1.6240374406196,-0.0303490691027447,-0.259826979499972,0.0514043616056212,-0.000893126494302,-0.0025102070598874,34.5992344823411,13.3680400035579,34.6041838279338,13.144743951103,371.768292860113,371.715267449406,-15.8098102704403,-15.7425790861537,16.6320727535541,126.733849299311,0.0,126.725392308867,0.0,0.0,0.0,-0.002511071090213,-0.25982433064427,1.62401078745276,-0.0310697570596366
1.0,-17.6,0.0,0.0,0.918421324708813,1.0,-1.02732965344018,1.80552218784115,-0.0323769970787381,-0.278520233353091,0.0514024685318818,-0.0007715367183169,-0.0035704709296958,34.5998959889144,14.8559720968321,34.6004737411655,14.6167248648572,371.726359490899,371.764830747919,-15.8219276718398,-15.7472229621187,16.6327377394437,126.73796947547,0.0,126.73685241874,0.0,0.0,0.0,-0.0035703314356052,-0.278520696085165,1.80550214171689,-0.0331548627421672
1.1,-17.6,0.0,0.0,0.918436799759407,1.0,-0.985373310845504,1.98700151137535,-0.0341758386309181,-0.294789003894767,0.0514000458617357,-0.0008088245578873,-0.0021375821825187,34.6013178242202,16.3432130281119,34.5961487673585,16.0899289116869,371.737269039332,371.758659905489,-15.8221979267729,-15.7683810370546,16.633357572186,126.740387192988,0.0,126.749345474718,0.0,0.0,0.0,-0.0021375955192085,-0.294787872937049,1.98698650452665,-0.0349951970222715
1.2,-17.6,0.0,0.0,0.918449979506059,1.0,-0.944625581549113,2.16847482743346,-0.0357545080602697,-0.306520869713558,0.0513974949346169,-0.0007056777107452,-0.0020574039555141,34.5999279627914,17.8282905326595,34.5949479223987,17.5649930106198,371.723312984596,371.771498420561,-15.832640220832,-15.7809107691784,16.633934427489,126.747160891317,0.0,126.755706456286,0.0,0.0,0.0,-0.0020577455698591,-0.306521735256699,2.16846367717508,-0.0366099733347213
1.3,-17.6,0.0,0.0,0.918461558922393,1.0,-0.897538259367013,2.34994109476348,-0.0368148334591276,-0.316816329744273,0.0513946929680398,-0.0006218919828392,-0.0013568281775387,34.6037078608901,19.3128976693193,34.5888554263006,19.0407865079987,371.693410415534,371.79606278094,-15.8387702106741,-15.7989415009905,16.6344524462968,126.744476509912,0.0,126.770069389602,0.0,0.0,0.0,-0.0013567538957506,-0.31681750405026,2.34993270853592,-0.0376993136628125
1.4,-17.6,0.0,0.0,0.918471999680841,1.0,-0.848826962627621,2.53139875980322,-0.0375049742264653,-0.321954690123673,0.0513917256981573,-0.0005403932411995,-0.000566735878027,34.6057076669756,20.7953720564658,34.5847769737773,20.5188413200557,371.676682532962,371.803796677321,-15.8439452410854,-15.8167728678862,16.6349158393457,126.744468426203,0.0,126.780584960275,0.0,0.0,0.0,-0.0005668967595638,-0.321956184439269,2.53139240521672,-0.0384041381398099
1.5,-17.6,0.0,0.0,0.918481610818824,1.0,-0.796808819346317,2.71284623438628,-0.0377298151584812,-0.323966299823552,0.0513884145548308,-0.0004331187695383,-9.57225814578924e-05,34.6089202786034,22.2765100466285,34.5796711558072,21.9982758223165,371.6448965631,371.823958354037,-15.8517801613564,-15.8329863701821,16.6353336380457,126.742097824834,0.0,126.792559176207,0.0,0.0,0.0,-9.57380565955595e-05,-0.323968399464452,2.71284137252368,-0.0386357098028572
1.6,-17.6,0.0,0.0,0.918490603203239,1.0,-0.742923972176668,2.89428188498383,-0.0375307208772454,-0.322389856752644,0.0513847967695517,-0.0003502853453567,0.0006313863918342,34.6123099616771,23.7560999320853,34.5745347843092,23.4792172939963,371.619521833328,371.83561855939,-15.8580851350307,-15.8506835148243,16.6357140789505,126.739171003096,0.0,126.804385485536,0.0,0.0,0.0,0.0006313793380463,-0.322391878932987,2.89427813039467,-0.0384319569240109
1.7,-17.6,0.0,0.0,0.918499469576725,1.0,-0.688466781009115,3.07570403106105,-0.0369594757218623,-0.317271045357104,0.0513808732923986,-0.0002637478573463,0.0011111953000709,34.6151084612769,25.23411113039,34.5700695712494,24.9616253101468,371.593468492973,371.847318993493,-15.865931662784,-15.8667068692051,16.6360671048691,126.737181674165,0.0,126.814945602579,0.0,0.0,0.0,0.0011111835199369,-0.317273214431853,3.07570110694676,-0.0378467046381191
1.8,-17.6,0.0,0.0,0.918509057353577,1.0,-0.634131931653623,3.25711117476203,-0.0360501690871748,-0.309731207749946,0.0513766566927963,-0.0001971770009743,0.0015178011718904,34.6179262126172,26.7110017955418,34.5655504623155,26.4449880058185,371.569841252124,371.857933230557,-15.8743420796537,-15.8820585084067,16.6364087923279,126.735286932765,0.0,126.825738831449,0.0,0.0,0.0,0.0015178663701709,-0.309733190106985,3.25710887958169,-0.0369159777300368
1.9,-17.6,0.0,0.0,0.918520591383949,1.0,-0.5818509281752,3.43850201332098,-0.0349199257604801,-0.300152666953412,0.0513721927551777,-0.0001620691512714,0.0017702345266402,34.6195800215813,28.1869196769779,34.5619980234029,27.9291163855635,371.555870409364,371.863552442962,-15.884067266703,-15.8960192886531,16.6367625236417,126.735853767166,0.0,126.835323721507,0.0,0.0,0.0,0.0017703214334531,-0.300154220311355,3.43850019563689,-0.0357581134450063
