Time,Steer_SW,Thr_Eng,Pbk_Con,PwrWheel,GearStat,Beta,Vx,Vy,AVz,Ax_SM,Ay_SM,AAz,AVy_L1,AVy_L2,AVy_R1,AVy_R2,Fx_L1,Fx_R1,Fx_L2,Fx_R2,M_Eng_Rq,MY_DR_L1,MY_DR_L2,MY_DR_R1,MY_DR_R2,Ax,Ay,AA_Y,AV_Y,Vx_SM,Vy_SM
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.22442267565042e-06,3.39585091670277e-19,8.9563888388351e-19,0.0,0.0,0.0,0.0,1.96270896633968e-13,1.96270896633968e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85335724129558e-07,1.9428537475151698e-22,1.12344170754328e-18,0.0,0.0,0.0
0.1,-276.5,0.0,4.21696,-0.0028074096517731,1.0,-98.498862914428,-0.013916504694339,-0.0931301503190081,0.272708458892074,0.0058567889440257,0.0610781498941228,0.101254857731035,-0.121192049107672,-0.146526142924775,0.013112854227359,-0.0319036424137282,-594.185972209163,301.03973821312,5.03889754437276,308.357210385277,13.9563644188156,263.30671640633,0.0,263.077563332053,0.0,0.0,0.0,0.0986803738059674,0.269137608884863,-0.0137642383420229,-0.0944507011423293
0.2,-276.5,0.0,4.21696,-0.0015646243143797,1.0,87.2582620331844,0.0023173385165964,0.0483898749499643,-0.122274499465648,-0.0072988307960314,0.0094117826108584,0.127156452274646,0.0029230470755341,0.0358640474338625,-0.0711193038510371,-0.0280395999768253,-530.917171401122,412.373438834153,-101.080294906105,176.444266841428,17.2093792534173,222.984361000141,0.0,223.115227902483,0.0,0.0,0.0,0.128755784160882,-0.121283097819932,0.0024672146029244,0.0485182000286729
0.3,-276.5,0.0,4.178624,-0.0004972054652328,1.0,85.1302106005836,0.0027127228116616,0.0318397999795498,0.0090783800389279,-0.0045908066274525,-0.0166587590197666,-0.0976987521157893,-0.0153607483555379,0.0177824095721682,-0.0059839019233255,0.0259513033620984,-314.887595589362,392.278296313606,-41.3340803877728,12.8617701424072,17.9676168352613,225.044241221125,0.0,225.02550525777,0.0,0.0,0.0,-0.0980737619681038,0.0098823952539731,0.002682137446613,0.0323939251074917
0.4,-276.5,0.0,4.2160016,0.001223499704889,1.0,-95.2311505210216,-0.0027277862820333,-0.029793852836712,0.0515101893612177,-0.000696246219399,-0.0046211097731914,0.0092242351901663,0.0103808454554687,-0.0259688308924632,0.0415250080736642,-0.003842955154365,-397.963150127018,390.2872480692,-34.2261178056252,116.008642389306,18.1447505632625,224.129574891973,0.0,224.076254245295,0.0,0.0,0.0,0.0088578204094779,0.0517363435636878,-0.0027156486027738,-0.0294925794687647
0.5,-276.5,0.0,4.178624,-2.20691639903398e-06,1.0,-83.3041065425636,0.0004362941516218,-0.0037162937579343,-0.0427133360581041,0.0011933498296128,0.0097909073223729,0.0379033890561465,0.0116797583004717,0.0139171333018606,-0.0119795561520265,-0.0077975692753396,-453.740480652274,384.509493912816,-32.9458498808379,174.573146901473,18.1861529302816,224.148016301106,0.0,224.18979597878,0.0,0.0,0.0,0.0381387953331037,-0.0434577375256678,0.0004226394412519,-0.0043082635204054
0.6,-276.5,0.0,4.178624,-0.0002890695730901,1.0,83.7683467222717,0.0014215042057509,0.013018180286435,-0.0023371849724418,-0.0005436365206535,-0.000154708575844,-0.0229317271905037,-0.0067136691091221,0.0050866651197484,-0.0055484622057496,0.006919620745519,-393.490084084118,382.135907383588,-30.0054445583062,111.453341641198,18.1958313026341,224.076340049773,0.0,224.073640878452,0.0,0.0,0.0,-0.0229028809367791,-0.0020362731607247,0.0014360524218951,0.0131956750711786
0.7,-276.5,0.0,4.178624,7.06615618466279e-05,1.0,-99.3695817864325,-0.0001242089664116,-0.0007527655266505,0.0223657355880715,-0.0003698146300779,-0.0047089001226165,-0.0025448649946408,-0.0048629932063205,-0.0060689726494541,0.0079892978545136,0.0045638687628421,-385.386095358891,392.956974052679,-38.1084264950703,110.204670837688,18.1980938201537,224.081382000285,0.0,224.059201829176,0.0,0.0,0.0,-0.002604352145427,0.0225953341058497,-0.0001201970328316,-0.0005437568224214
0.8,-276.5,0.0,4.178624,0.0001400388837293,1.0,-96.3536753272037,-0.0006134370104731,-0.0055091204371049,-0.0147220588114085,0.0003762741682419,0.0014162232827549,0.0105614249385054,0.0063951929568892,0.0009883655425871,-0.0004877491392648,-0.0073481085477245,-409.556454433617,383.741856524759,-33.8376760057344,137.145417602052,18.1986227335779,224.09857447097,0.0,224.110727112518,0.0,0.0,0.0,0.0105372302747419,-0.0148930413206314,-0.0006151974961006,-0.0056537924367927
0.9,-276.5,0.0,4.2160016,-6.2427612449706e-05,1.0,80.1007364195192,0.0002969636496773,0.0017016541246883,-0.0046803405540766,2.43983716337834e-05,0.0016112032562575,-0.005168081718218,-0.0011760887409357,0.0017017467020098,-0.0014986606129861,0.0011165740475317,-401.673433311563,377.284222410441,-31.2393363843798,128.497715723612,18.1987463788152,224.092796657358,0.0,224.093189246655,0.0,0.0,0.0,-0.0051280107079741,-0.0047264912342139,0.0002993200705167,0.0016580710943367
