Time,Steer_SW,Thr_Eng,Pbk_Con,PwrWheel,GearStat,Beta,Vx,Vy,AVz,Ax_SM,Ay_SM,AAz,AVy_L1,AVy_L2,AVy_R1,AVy_R2,Fx_L1,Fx_R1,Fx_L2,Fx_R2,M_Eng_Rq,MY_DR_L1,MY_DR_L2,MY_DR_R1,MY_DR_R2,Ax,Ay,AA_Y,AV_Y,Vx_SM,Vy_SM
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.22442267565042e-06,3.39585091670277e-19,8.9563888388351e-19,0.0,0.0,0.0,0.0,1.96270896633968e-13,1.96270896633968e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85335724129558e-07,1.9428537475151698e-22,1.12344170754328e-18,0.0,0.0,0.0
0.1,-17.6,0.0,0.0,0.151798262124922,1.0,-1.83646210336974,0.323753435571488,-0.0103806006572557,-0.121851989808727,0.102937717528297,0.0021886803417472,0.0110730392810763,2.93706403684736,2.9380071299694,2.9037152000282,2.82682392787426,750.254952529643,724.744305660723,-27.0829716317483,-28.4086366252447,13.9563450477593,249.500181486182,0.0,249.63347018739,0.0,0.0,0.0,0.0109105035237429,-0.12178017840158,0.322591004862404,-0.0107799406343436
0.2,-17.6,0.0,0.0,0.240045210187121,1.0,-0.369912662435525,0.65219084260886,-0.0042107290471526,0.0476277162583593,0.0865144536476151,0.000715495394934,-0.0024635548688874,5.40978662206148,5.35422204611581,5.48439963890087,5.39822354793988,620.051907386203,623.175955813347,-22.276579319857,-22.4182887503052,17.2093871178317,210.967415992719,0.0,210.824770452155,0.0,0.0,0.0,-0.0024268050582088,0.0476171451571118,0.651953619198878,-0.0041015159837101
0.3,-17.6,0.0,0.0,0.336607963055577,1.0,-0.344039292323223,0.952691611808999,-0.005720618342028,-0.149668917557226,0.0836519071239002,-0.0024636053608536,-0.0238430506993446,7.9741723056944,7.89420241418074,7.83913380441345,7.75868307321522,597.790702094028,600.941962554053,-20.4729525711033,-20.0502063923835,17.9675680873971,203.4620339411,0.0,203.68838238738,0.0,0.0,0.0,-0.0238431396908025,-0.149636356073344,0.952420417761737,-0.0060698156378159
0.4,-17.6,0.0,0.0,0.427368241496524,1.0,-0.720756603383393,1.24509653791081,-0.0156636125619364,-0.0761337272670019,0.0817062566791233,-0.0015593223101327,0.0218533966794196,10.3103318554679,10.2256935546339,10.2405271475007,10.1568828985618,584.708079450895,584.938290009833,-19.1335486462993,-19.2401574769201,18.1447497548339,198.750239561833,0.0,198.871703023839,0.0,0.0,0.0,0.021847169246395,-0.0761146818710557,1.24492401762233,-0.0158557220376031
0.5,-17.6,0.0,0.0,0.509920743965,1.0,-0.585831797047418,1.52993639823831,-0.0156436762416514,-0.149829521537794,0.0795002689420293,7.44910739501731e-05,-0.0319662906267589,12.6506306173246,12.5670957359424,12.5222209672489,12.438373109922,568.534314094132,569.510031230029,-18.8431817377063,-18.2392400230276,18.1863767853862,193.503830506631,0.0,193.724828020067,0.0,0.0,0.0,-0.0319658887223027,-0.149825640262116,1.52982870302038,-0.0161088080386337
0.6,-17.6,0.0,0.0,0.583074353995476,1.0,-0.579382860716483,1.80634227692108,-0.0182666059949871,-0.181199140328019,0.0770385152561166,-0.0014924623190655,0.0200255151780228,14.9107537768075,14.8284671747488,14.7550160892193,14.6718632541439,551.201977769826,551.717611096754,-18.07150200702,-18.2055829853316,18.1958437199068,187.695246042208,0.0,187.965366890091,0.0,0.0,0.0,0.0200252352944035,-0.18119600623733,1.80627930263941,-0.0187292270642699
0.7,-17.6,0.0,0.0,0.648416422571415,1.0,-0.602364262791124,2.07376377978455,-0.0218027789407882,-0.149446180198258,0.074543050518571,-0.0007515532495913,-0.0194749575267926,17.0742891983035,16.9899733159922,16.9454055510697,16.8616794902106,533.624129772554,534.569791551952,-18.030182576358,-17.6932450676131,18.1968214038371,182.014695782098,0.0,182.236663916948,0.0,0.0,0.0,-0.0194752947370491,-0.149443089284176,2.07373760291693,-0.0222369037678571
0.8,-17.6,0.0,0.0,0.710159329815744,1.0,-0.593735062480222,2.33324975104799,-0.0241794733956093,-0.253096652570784,0.072462090990455,-0.0013239953407326,0.000474502659706,19.2420662819768,19.1483156378159,19.0238230902441,18.9305933434738,518.923475636712,520.100641292047,-17.7332934346947,-17.6840393881662,18.1950738091415,177.130473801412,0.0,177.507597774478,0.0,0.0,0.0,0.0004739934858248,-0.253097780317775,2.3332451262712,-0.0248638217684704
0.9,-17.6,0.0,0.0,0.761024899766592,1.0,-0.608537453575801,2.58471390757568,-0.0274532326672884,-0.197069390011787,0.0699842152989288,-0.0007819567986071,0.0011762419294876,21.2724799608228,21.1719157445787,21.1026059876411,21.0025239058862,501.638818294432,502.534123446462,-17.4623494960178,-17.45871946181,18.1914869670793,171.43379172845,0.0,171.727393599119,0.0,0.0,0.0,0.0011764841601263,-0.197069769219135,2.58473050050381,-0.0280135131198366
1.0,-17.6,0.0,0.0,0.80597745427833,1.0,-0.585196984007571,2.82749649452003,-0.0288799624270766,-0.274957256416672,0.0676007218347023,-0.001079030218312,-0.0143789345929584,23.2917141187371,23.1838860115199,23.0550070175353,22.9478456086177,484.815122682837,486.283860455603,-17.3889870489383,-17.1715939475926,18.181655540696,165.930711778845,0.0,166.339139639719,0.0,0.0,0.0,-0.0143795052910039,-0.274959504957961,2.82752544119752,-0.0296393647325703
1.1,-17.6,0.0,0.0,0.841493970670612,1.0,-0.602335311127527,3.06167521060843,-0.0321877640276119,-0.270136837962139,0.0650472005328319,-0.0013035144576068,0.0083770760971005,25.2038708656453,25.0910628234226,24.9710161042997,24.8586189617516,467.009052254206,468.148180231227,-17.0331655557983,-17.1128192566003,18.1590958164944,160.012807054166,0.0,160.415550630677,0.0,0.0,0.0,0.0083771142821354,-0.270140219850904,3.06171396827197,-0.0329289190770199
1.2,-17.6,0.0,0.0,0.872339649115531,1.0,-0.596787214210717,3.2869205173617,-0.0342374795667161,-0.288538001857602,0.062648332827765,-0.0009222334519936,-0.0134972506447447,27.0531756409009,26.9356462236457,26.8049247435177,26.6879565319495,450.141982635795,451.660146197499,-16.9834284994013,-16.7716850220166,18.1121624140865,154.508714280146,0.0,154.937128700973,0.0,0.0,0.0,-0.0134972178698998,-0.288541474582642,3.28696453705593,-0.0350506390664709
1.3,-17.6,0.0,0.0,0.898975516197273,1.0,-0.594724216850448,3.50418997425248,-0.0363744328982996,-0.329114034318071,0.0604222185026683,-0.0013572978621376,0.0028564824964134,28.8474426031242,28.7258808984188,28.5640487579341,28.4429860083498,434.530386962638,436.014249645456,-16.6926705701503,-16.6993086281668,18.0268864423825,149.328973111845,0.0,149.818812676462,0.0,0.0,0.0,0.0028564058052103,-0.32911699743871,3.50423550571241,-0.0372766229856626
1.4,-17.6,0.0,0.0,0.914925491294163,1.0,-0.598717561097226,3.71308817322524,-0.0388016714965906,-0.318308101070694,0.0578655641925562,-0.0011098040219841,-0.0051276411490757,30.5485347433717,30.4248668076904,30.2746435652058,30.151368004553,416.628494342053,418.17178369187,-16.5342778147354,-16.4330792664319,17.8879064365154,143.448086512334,0.0,143.921164032407,0.0,0.0,0.0,-0.0051278661366468,-0.318312817516128,3.71313863509918,-0.0396928650642398
